Date,Open,High,Low,Close,Adj Close,Volume
2018-10-16,0.222475,0.229817,0.222002,0.227978,0.227978,42468100
2018-10-17,0.229563,0.243272,0.227609,0.240403,0.240403,74599800
2018-10-18,0.240969,0.245978,0.232275,0.239452,0.239452,59461700
2018-10-19,0.238869,0.246234,0.234606,0.242853,0.242853,45872300
2018-10-20,0.245219,0.249199,0.240961,0.244182,0.244182,60012800
2018-10-21,0.243722,0.248253,0.239730,0.241724,0.241724,46623600
2018-10-22,0.240374,0.244095,0.238244,0.242361,0.242361,40765500
2018-10-23,0.242491,0.246983,0.239368,0.242215,0.242215,39384600
2018-10-24,0.241749,0.244423,0.236891,0.237760,0.237760,39973400
2018-10-25,0.237535,0.239069,0.233741,0.235646,0.235646,39745700
2018-10-26,0.235332,0.236927,0.230687,0.234011,0.234011,35741700
2018-10-27,0.233858,0.235208,0.228200,0.228760,0.228760,38499600
2018-10-28,0.229188,0.234080,0.227392,0.232871,0.232871,39381600
2018-10-29,0.231678,0.232719,0.221143,0.222357,0.222357,45544800
2018-10-30,0.222200,0.226328,0.221782,0.225093,0.225093,43111300
2018-10-31,0.226218,0.227941,0.217748,0.223471,0.223471,42791700
2018-11-01,0.224360,0.240530,0.222510,0.222945,0.222945,38696300
2018-11-02,0.223014,0.236297,0.223014,0.234244,0.234244,50452100
2018-11-03,0.234098,0.239844,0.232162,0.235706,0.235706,50502800
2018-11-04,0.235788,0.244596,0.234853,0.241638,0.241638,57585400
2018-11-05,0.240807,0.246755,0.239831,0.246529,0.246529,54187000
2018-11-06,0.246849,0.267038,0.246849,0.265596,0.265596,101099000
2018-11-07,0.265875,0.265875,0.253465,0.256718,0.256718,78967900
2018-11-08,0.256527,0.263579,0.249665,0.256043,0.256043,88138000
2018-11-09,0.255711,0.264205,0.253859,0.255542,0.255542,71764800
2018-11-10,0.255588,0.261230,0.254943,0.261230,0.261230,53086500
2018-11-11,0.260383,0.274956,0.258771,0.273605,0.273605,109488000
2018-11-12,0.274039,0.284025,0.266906,0.267326,0.267326,98560700
2018-11-13,0.267548,0.269933,0.255827,0.257787,0.257787,71147400
2018-11-14,0.256955,0.256955,0.220117,0.233043,0.233043,100039000
2018-11-15,0.233055,0.244733,0.215886,0.241944,0.241944,97300800
2018-11-16,0.240067,0.247692,0.235995,0.238850,0.238850,116280000
2018-11-17,0.236753,0.246795,0.233868,0.244927,0.244927,95893400
2018-11-18,0.244894,0.253564,0.244894,0.249758,0.249758,101810000
2018-11-19,0.249614,0.249614,0.224335,0.224412,0.224412,130056000
2018-11-20,0.224573,0.230491,0.184698,0.193193,0.193193,154290000
2018-11-21,0.194015,0.208379,0.186163,0.203688,0.203688,108181000
2018-11-22,0.203459,0.205110,0.187797,0.187797,0.187797,81440600
2018-11-23,0.187441,0.189445,0.176112,0.181211,0.181211,101304000
2018-11-24,0.181912,0.184994,0.149063,0.154205,0.154205,98670200
2018-11-25,0.155430,0.159619,0.133734,0.159607,0.159607,137467000
2018-11-26,0.159195,0.163263,0.137487,0.144795,0.144795,105913000
2018-11-27,0.144355,0.146664,0.137987,0.144374,0.144374,81742500
2018-11-28,0.144111,0.167606,0.144111,0.162237,0.162237,101285000
2018-11-29,0.161831,0.172107,0.155423,0.165080,0.165080,88862063
2018-11-30,0.164957,0.172415,0.154037,0.158630,0.158630,95843386
2018-12-01,0.159088,0.170118,0.156453,0.166332,0.166332,83084024
2018-12-02,0.165514,0.169806,0.159690,0.160301,0.160301,75295614
2018-12-03,0.160679,0.161217,0.148330,0.149536,0.149536,76449398
2018-12-04,0.149287,0.154543,0.146425,0.147653,0.147653,71173372
2018-12-05,0.147821,0.147896,0.135936,0.135936,0.135936,68043240
2018-12-06,0.135591,0.139226,0.119594,0.119594,0.119594,152806951
2018-12-07,0.119471,0.119471,0.106931,0.115263,0.115263,174082644
2018-12-08,0.115391,0.125203,0.112567,0.118993,0.118993,157281951
2018-12-09,0.118600,0.126537,0.118206,0.124328,0.124328,184624488
2018-12-10,0.124218,0.125444,0.116322,0.118253,0.118253,92973561
2018-12-11,0.118017,0.119161,0.112389,0.112835,0.112835,198352455
2018-12-12,0.112664,0.116236,0.111282,0.113690,0.113690,90782295
2018-12-13,0.113754,0.113754,0.104563,0.105800,0.105800,51964279
2018-12-14,0.105656,0.105656,0.095881,0.097740,0.097740,75210407
2018-12-15,0.097867,0.099413,0.093140,0.095439,0.095439,80164248
2018-12-16,0.095470,0.099586,0.095270,0.096278,0.096278,64490414
2018-12-17,0.096490,0.112739,0.096297,0.109693,0.109693,103169893
2018-12-18,0.109671,0.114330,0.107612,0.114330,0.114330,96486763
2018-12-19,0.114731,0.126597,0.114245,0.114245,0.114245,113320279
2018-12-20,0.113865,0.127659,0.113524,0.126550,0.126550,125348361
2018-12-21,0.126179,0.133440,0.117379,0.119916,0.119916,140455598
2018-12-22,0.119997,0.123588,0.117331,0.122750,0.122750,131136807
2018-12-23,0.123208,0.128494,0.122604,0.126585,0.126585,128331036
2018-12-24,0.126668,0.141351,0.126668,0.132520,0.132520,169588599
2018-12-25,0.133123,0.133342,0.119143,0.121682,0.121682,111648902
2018-12-26,0.121735,0.125530,0.117893,0.120607,0.120607,105367076
2018-12-27,0.120487,0.120645,0.110157,0.110486,0.110486,84397745
2018-12-28,0.110513,0.122760,0.109658,0.121383,0.121383,122279839
2018-12-29,0.121677,0.122356,0.118036,0.118036,0.118036,99849381
2018-12-30,0.118284,0.119345,0.116329,0.117430,0.117430,87412670
2018-12-31,0.117709,0.117888,0.112506,0.112813,0.112813,101118303
2019-01-01,0.112932,0.118505,0.112223,0.115930,0.115930,91630088
2019-01-02,0.116054,0.119368,0.114197,0.119331,0.119331,106949561
2019-01-03,0.118946,0.118976,0.113571,0.113825,0.113825,90192344
2019-01-04,0.113778,0.117095,0.112709,0.115361,0.115361,80564461
2019-01-05,0.115128,0.116614,0.113536,0.114046,0.114046,88463993
2019-01-06,0.114073,0.121527,0.113293,0.120384,0.120384,93094440
2019-01-07,0.120303,0.124106,0.120021,0.123220,0.123220,95010987
2019-01-08,0.123260,0.129191,0.120541,0.123119,0.123119,104584394
2019-01-09,0.123213,0.124409,0.122214,0.123774,0.123774,94733729
2019-01-10,0.123830,0.128394,0.107248,0.109879,0.109879,128623287
2019-01-11,0.108776,0.111904,0.106211,0.107332,0.107332,102731220
2019-01-12,0.107269,0.107752,0.105778,0.106764,0.106764,103509556
2019-01-13,0.106758,0.111775,0.103231,0.103609,0.103609,119389904
2019-01-14,0.103649,0.110128,0.103649,0.109649,0.109649,110842788
2019-01-15,0.109422,0.109954,0.105427,0.105685,0.105685,89555966
2019-01-16,0.105837,0.108060,0.105679,0.106891,0.106891,92258083
2019-01-17,0.106708,0.108856,0.105667,0.108461,0.108461,110024544
2019-01-18,0.108312,0.108937,0.105802,0.106821,0.106821,84272978
2019-01-19,0.106863,0.110063,0.106707,0.108304,0.108304,111942029
2019-01-20,0.108195,0.108906,0.103944,0.104702,0.104702,123424389
2019-01-21,0.104683,0.104856,0.102676,0.103380,0.103380,111143573
2019-01-22,0.103650,0.104986,0.101690,0.104103,0.104103,129057417
2019-01-23,0.104134,0.104349,0.101584,0.102576,0.102576,97605044
2019-01-24,0.102370,0.102665,0.101222,0.102210,0.102210,109073512
2019-01-25,0.101969,0.101969,0.100190,0.101741,0.101741,102773914
2019-01-26,0.101689,0.104441,0.098994,0.100014,0.100014,142586254
2019-01-27,0.099888,0.100352,0.095465,0.096316,0.096316,134988475
2019-01-28,0.096387,0.096543,0.086067,0.087904,0.087904,135847054
2019-01-29,0.088323,0.088323,0.082705,0.083923,0.083923,155745244
2019-01-30,0.083717,0.087184,0.082640,0.085634,0.085634,174265316
2019-01-31,0.085655,0.087896,0.082284,0.082631,0.082631,148616345
2019-02-01,0.082803,0.084435,0.080530,0.083580,0.083580,143454404
2019-02-02,0.083289,0.084420,0.081976,0.083090,0.083090,142365605
2019-02-03,0.083083,0.083376,0.080472,0.081347,0.081347,106729577
2019-02-04,0.081296,0.082248,0.079664,0.079730,0.079730,83103229
2019-02-05,0.079581,0.079744,0.076991,0.077882,0.077882,93209183
2019-02-06,0.078064,0.078360,0.073615,0.074387,0.074387,153042575
2019-02-07,0.074494,0.076992,0.073654,0.074688,0.074688,121452716
2019-02-08,0.074717,0.082528,0.073899,0.081224,0.081224,137845933
2019-02-09,0.081242,0.081956,0.079928,0.080808,0.080808,128687270
2019-02-10,0.080894,0.081390,0.077846,0.080393,0.080393,133339148
2019-02-11,0.080657,0.080657,0.077510,0.077595,0.077595,193770299
2019-02-12,0.077572,0.078941,0.075941,0.077616,0.077616,181940099
2019-02-13,0.077661,0.078840,0.076123,0.076990,0.076990,151128266
2019-02-14,0.076976,0.077315,0.075371,0.076635,0.076635,230125006
2019-02-15,0.076665,0.080933,0.076297,0.079276,0.079276,188673143
2019-02-16,0.079207,0.079334,0.077930,0.078421,0.078421,158123867
2019-02-17,0.078410,0.079865,0.077733,0.079608,0.079608,123466543
2019-02-18,0.079603,0.084029,0.079498,0.083691,0.083691,131352902
2019-02-19,0.083816,0.092082,0.083409,0.089982,0.089982,183733552
2019-02-20,0.090029,0.091735,0.087043,0.091735,0.091735,154754813
2019-02-21,0.091790,0.093161,0.088248,0.089091,0.089091,142797864
2019-02-22,0.088947,0.091433,0.088199,0.090668,0.090668,89852657
2019-02-23,0.090721,0.095167,0.089778,0.094257,0.094257,120783642
2019-02-24,0.094386,0.096577,0.082807,0.084234,0.084234,167217215
2019-02-25,0.083897,0.089436,0.083897,0.087305,0.087305,129415110
2019-02-26,0.087170,0.087616,0.084843,0.086800,0.086800,123369777
2019-02-27,0.086928,0.087520,0.084697,0.086195,0.086195,116962260
2019-02-28,0.086014,0.086491,0.084702,0.085503,0.085503,112773497
2019-03-01,0.085505,0.087677,0.084665,0.085833,0.085833,115886661
2019-03-02,0.085858,0.086745,0.083573,0.084460,0.084460,103522009
2019-03-03,0.084303,0.088583,0.083437,0.087235,0.087235,121355278
2019-03-04,0.086924,0.087056,0.081728,0.083539,0.083539,133895180
